PM10,SO2,Nox,WEEK,YEAR ,MONTH,serial
124.7,6.37,19.13,1,2016,JAN,1
128.62,6.45,20.2,2,2016,JAN,2
104.81,5.94,18.37,3,2016,JAN,3
108.05,6.35,19.65,4,2016,JAN,4
103.13,6.2,19.6,5,2016,JAN,5
138.47,5.15,18.55,1,2016,FEB,6
147.08,6.66,21.58,2,2016,FEB,7
157.29,6.79,18.25,3,2016,FEB,8
161,6.75,17,4,2016,FEB,9
147.59,7.75,18.25,5,2016,FEB,10
161,12,19,1,2016,mar,11
159,11,19,2,2016,mar,12
263,10,20,3,2016,mar,13
199,9,19,4,2016,mar,14
128,9,20,5,2016,mar,15
73,10,15,1,2016,apr,16
91,11,15,2,2016,apr,17
88,11,15,3,2016,apr,18
109,9,16,4,2016,apr,19
103,8,17,5,2016,apr,20
98.94,8.3,14.15,1,2016,may,21
120.72,8.35,7.25,2,2016,may,22
67.26,7.25,15,3,2016,may,23
99.65,7.8,15.25,4,2016,may,24
75.61,7.25,12.5,5,2016,may,25
69,6,14.87,1,2016,june,26
58.1,6.55,16.95,2,2016,june,27
59.92,6.62,15.58,3,2016,june,28
64,8,15.5,4,2016,june,29
68.12,8.9,14.37,5,2016,june,30
54.75,7.75,14.25,1,2016,jul,31
57,9.08,15.79,2,2016,jul,32
69,7.79,15.63,3,2016,jul,33
72.4,7.16,15.76,4,2016,jul,34
62.75,6.13,14.92,5,2016,jul,35
58.5,6.21,15.46,1,2016,aug,36
56.5,7,16.85,2,2016,aug,37
52.8,6.83,17.22,3,2016,aug,38
58.17,6.5,16.58,4,2016,aug,39
52.67,6.5,16,5,2016,aug,40
59.56,6.08,14.58,1,2016,sep,41
61.33,5.63,13.68,2,2016,sep,42
62.78,5.56,13.62,3,2016,sep,43
63.19,5.15,14.05,4,2016,sep,44
69.45,6.75,14.94,5,2016,sep,45
73.5,7.25,17.25,1,2016,oct,46
61.58,6.73,16.43,2,2016,oct,47
65.86,7.03,18.63,3,2016,oct,48
63.62,7.18,18.06,4,2016,oct,49
74.73,7.09,17.73,5,2016,oct,50
73.5,9.83,16.33,1,2016,nov,51
70.89,11.11,16.66,2,2016,nov,52
82.83,10.83,16.41,3,2016,nov,53
72.66,9.33,19.83,4,2016,nov,54
93.33,10.5,16.16,5,2016,nov,55
150,11.17,17.5,1,2016,dec,56
105.66,10.38,19.11,2,2016,dec,57
107.11,11.27,17.77,3,2016,dec,58
130.88,7.89,22.5,4,2016,dec,59
130.5,7.91,19.58,5,2016,dec,60
100.44,10.33,17.43,1,2017,JAN,61
142.83,11.5,18.58,2,2017,JAN,62
137.22,11.05,18.22,3,2017,JAN,63
166.5,6.41,16.16,4,2017,JAN,64
180.67,6.83,16.33,5,2017,JAN,65
262,6.33,16.83,1,2017,FEB,66
262.5,5.91,17.66,2,2017,FEB,67
257.11,5.88,18.16,3,2017,FEB,68
188.33,6.72,16.44,4,2017,FEB,69
213,7.83,16.67,5,2017,FEB,70
252.33,6.92,16.08,1,2017,mar,71
198.55,5.89,16.11,2,2017,mar,72
241.16,6.08,15,3,2017,mar,73
168.77,7.38,15.89,4,2017,mar,74
130.55,6.55,16.33,5,2017,mar,75
123.945,6.86,16.46,1,2017,apr,76
63,6.88,15.45,2,2017,apr,77
189,6.92,16.83,3,2017,apr,78
135.22,6.22,15.61,4,2017,apr,79
118,7.67,16.06,5,2017,apr,80
63.58,6.75,15.25,1,2017,may,81
92.33,5.66,15.42,2,2017,may,82
69.11,6.5,15.89,3,2017,may,83
74,7.05,15.72,4,2017,may,84
95.67,5.91,15.66,5,2017,may,85
61.67,5.67,14.83,1,2017,june,86
127.44,5.66,16.16,2,2017,june,87
133.94,5.72,13.31,3,2017,june,88
83.89,6.39,14.44,4,2017,june,89
82.5,5.62,8.83,5,2017,june,90
60.12,5.85,14.58,1,2017,jul,91
92.77,6,16,2,2017,jul,92
74.55,6.04,14.26,3,2017,jul,93
78.89,5.11,12.99,4,2017,jul,94
73.25,4.79,12.31,5,2017,jul,95
78,4.5,12.5,1,2017,aug,96
82,5,12.5,2,2017,aug,97
57.33,6,11.66,3,2017,aug,98
68,6,13,4,2017,aug,99
55.5,5.5,13,5,2017,aug,100
79,7,14,1,2017,sep,101
81,5.66,14.66,2,2017,sep,102
62.5,6,14.5,3,2017,sep,103
61,7.33,15,4,2017,sep,104
65.66,7.66,15.66,5,2017,sep,105
69.5,6,15.5,1,2017,oct,106
70.16,6.33,15,2,2017,oct,107
79.5,7.33,16,3,2017,oct,108
83.33,5.33,14,4,2017,oct,109
57,6,15,5,2017,oct,110
91.5,6,15,1,2017,nov,111
91,7,16,2,2017,nov,112
80,7,16,3,2017,nov,113
114,9,20,4,2017,nov,114
107.5,10.5,22,5,2017,nov,115
120,11,23,1,2017,dec,116
148.66,9.66,21.66,2,2017,dec,117
119,10,21.33,3,2017,dec,118
140.66,8.33,16.66,4,2017,dec,119
