PM10,SO2,Nox,MONTH,WEEK,YEAR ,serial
100.91,7.5,18.25,JAN,1,2016,1
133.92,9.35,20.95,JAN,2,2016,2
112.96,6.06,18.87,JAN,3,2016,3
123.29,5.6,17.85,JAN,4,2016,4
108.35,5.81,21.31,JAN,5,2016,5
132.67,4.95,18.95,FEB,1,2016,6
122,6.6,20.8,FEB,2,2016,7
147.35,6.7,18.55,FEB,3,2016,8
172.34,6.45,17.63,FEB,4,2016,9
144.55,6.25,15.25,FEB,5,2016,10
185,11,19,mar,1,2016,11
202,16,19,mar,2,2016,12
215,9,19,mar,3,2016,13
241,9,17,mar,4,2016,14
110,9,18,mar,5,2016,15
56,8,14,apr,1,2016,16
90,8,15,apr,2,2016,17
141,10,16,apr,3,2016,18
76,9,16,apr,4,2016,19
108,10,15,apr,5,2016,20
66.11,9.05,15.55,may,1,2016,21
68.29,7.4,16.5,may,2,2016,22
57.07,8.8,16.4,may,3,2016,23
86.37,8.4,16,may,4,2016,24
79.55,9,16.75,may,5,2016,25
79,8.58,15.16,june,1,2016,26
63.1,8.35,15.35,june,2,2016,27
74.5,8.3,15.7,june,3,2016,28
86.7,9.25,15.8,june,4,2016,29
89.377,8.81,15.44,june,5,2016,30
66.5,9.75,15.5,jul,1,2016,31
77.75,7.75,14.37,jul,2,2016,32
62.1,8.65,15.3,jul,3,2016,33
62.7,8.15,14.45,jul,4,2016,34
68.4,7.05,15.25,jul,5,2016,35
60.9,6.25,16.05,aug,1,2016,36
55.1,5.55,16.55,aug,2,2016,37
52.13,6.75,16.19,aug,3,2016,38
55.67,6,14.25,aug,4,2016,39
63,6.33,14.5,aug,5,2016,40
67.76,6.75,16,sep,1,2016,41
52.99,6.4,15.8,sep,2,2016,42
55.26,6.56,16.06,sep,3,2016,43
52.96,9.8,14.35,sep,4,2016,44
61.21,6.8,15.25,sep,5,2016,45
71.1,7.05,15.65,oct,1,2016,46
51.8,6.55,15.9,oct,2,2016,47
51.5,6.5,16.5,oct,3,2016,48
68,6.65,15.95,oct,4,2016,49
84.83,5.79,19.66,oct,5,2016,50
67.16,9.67,18.41,nov,1,2016,51
63.44,10.05,17.61,nov,2,2016,52
84.22,10.22,17.33,nov,3,2016,53
96.55,11.72,17.33,nov,4,2016,54
111.16,12.58,18.33,nov,5,2016,55
150,11.17,17.5,dec,1,2016,56
89.83,15.11,20.89,dec,2,2016,57
104.55,13.05,19.89,dec,3,2016,58
124.55,9.38,17.16,dec,4,2016,59
97.5,7.17,15.83,dec,5,2016,60
120.67,7.5,16.17,JAN,1,2017,61
107.66,10,22.58,JAN,2,2017,62
135.17,9.67,21.17,JAN,3,2017,63
147.33,10.66,21.66,JAN,4,2017,64
149,8.67,22.67,JAN,5,2017,65
164,8.5,19.33,FEB,1,2017,66
148.66,8.08,19.08,FEB,2,2017,67
169,8.33,19.22,FEB,3,2017,68
171.44,6.83,15.61,FEB,4,2017,69
172.67,7.5,18.33,FEB,5,2017,70
235.83,7.41,17.58,mar,1,2017,71
215.66,8.11,17.77,mar,2,2017,72
148.83,7.66,16.67,mar,3,2017,73
216.16,7.75,18.08,mar,4,2017,74
119.83,8.16,18.58,mar,5,2017,75
,,,apr,1,2017,76
102.5,7.58,17.92,apr,2,2017,77
200.67,7,16.88,apr,3,2017,78
72.83,7.33,17.67,apr,4,2017,79
115.44,6.27,15.5,apr,5,2017,80
146.83,4.33,15,may,1,2017,81
99,5.75,15.42,may,2,2017,82
90.33,7.38,17.99,may,3,2017,83
66.44,7.33,18,may,4,2017,84
66.33,6.66,11.27,may,5,2017,85
59.33,5.83,19.83,june,1,2017,86
78.55,5.94,16.78,june,2,2017,87
