PM10,SO2,Nox,MONTH,WEEK,YEAR ,serial
119.21,8.12,21,JAN,1,2016,1
134.23,7.85,21.5,JAN,2,2016,2
123.61,8.06,23.18,JAN,3,2016,3
119.1,8.45,22.95,JAN,4,2016,4
118.2,8.2,22.1,JAN,5,2016,5
140.33,8,20.5,FEB,1,2016,6
141,8.33,21.27,FEB,2,2016,7
156,8.83,22.83,FEB,3,2016,8
182,10.75,24.75,FEB,4,2016,9
189.99,11,26,FEB,5,2016,10
216,10,23,mar,1,2016,11
246,10,23,mar,2,2016,12
210,9,23,mar,3,2016,13
136,9,23,mar,4,2016,14
160,8,19,mar,5,2016,15
92,7,19,apr,1,2016,16
96,6,18,apr,2,2016,17
89,7,16,apr,3,2016,18
81,6,16,apr,4,2016,19
69,7,21,apr,5,2016,20
94.68,6.95,14.5,may,1,2016,21
104.74,6.95,14,may,2,2016,22
82.98,7.1,14.3,may,3,2016,23
83.05,7.1,14.6,may,4,2016,24
112.24,7.63,14.63,may,5,2016,25
94.87,6.75,14.5,june,1,2016,26
90.2,6.6,13.75,june,2,2016,27
93.4,5.88,13.75,june,3,2016,28
93.5,5.92,13.58,june,4,2016,29
84.13,6.43,13.3,june,5,2016,30
78.25,5.75,13.63,jul,1,2016,31
81.5,6.25,14.3,jul,2,2016,32
79.33,6.29,15.04,jul,3,2016,33
66.1,5.95,14.6,jul,4,2016,34
76.5,5.71,13.75,jul,5,2016,35
88.5,7.17,14.88,aug,1,2016,36
89.9,7,16.05,aug,2,2016,37
89.7,7.77,17.43,aug,3,2016,38
89.17,7.25,17.5,aug,4,2016,39
92.67,7.67,15.25,aug,5,2016,40
75.63,7.25,16.37,sep,1,2016,41
73.31,6.9,16.3,sep,2,2016,42
70.38,7.01,15.66,sep,3,2016,43
79.14,6.95,17.7,sep,4,2016,44
67.98,7.21,18.56,sep,5,2016,45
56,6.5,15.25,oct,1,2016,46
69.58,7,15.37,oct,2,2016,47
62.2,7.5,16.65,oct,3,2016,48
58,7.37,18.06,oct,4,2016,49
76.78,7.5,16.86,oct,5,2016,50
95.78,10,18,nov,1,2016,51
99.16,9.5,16.5,nov,2,2016,52
92.33,8.61,16.22,nov,3,2016,53
108.66,9.25,16.58,nov,4,2016,54
101.16,11.66,20.75,nov,5,2016,55
150,11.17,17.5,dec,1,2016,56
131.67,17.33,23.78,dec,2,2016,57
147,15.22,22.16,dec,3,2016,58
166.78,14,26.55,dec,4,2016,59
120.66,9.28,17.55,dec,5,2016,60
116.89,9.28,18.77,JAN,1,2017,61
133.5,9.83,19.58,JAN,2,2017,62
116.55,9.16,18.78,JAN,3,2017,63
115.5,6,20.83,JAN,4,2017,64
162,7.17,20.17,JAN,5,2017,65
155.33,5.67,17.5,FEB,1,2017,66
170.22,5.83,16.33,FEB,2,2017,67
212.11,5.47,16.47,FEB,3,2017,68
193.11,6.44,17.27,FEB,4,2017,69
211,7.67,20.17,FEB,5,2017,70
262,7.58,17.83,mar,1,2017,71
232.66,7.5,18.61,mar,2,2017,72
222.67,7.33,16.75,mar,3,2017,73
185.33,8.22,17.33,mar,4,2017,74
126.22,8.33,17.16,mar,5,2017,75
,,,apr,1,2017,76
82.55,7.22,16.27,apr,2,2017,77
111.44,7.92,18.83,apr,3,2017,78
120.11,5.94,16.39,apr,4,2017,79
119,5.77,14.5,apr,5,2017,80
93.66,6.62,15.91,may,1,2017,81
114.66,6.91,14.91,may,2,2017,82
67.89,6.78,17.33,may,3,2017,83
98,6.5,16.39,may,4,2017,84
71.84,6.5,17.83,may,5,2017,85
59.33,5.83,19.83,june,1,2017,86
78.55,5.94,16.78,june,2,2017,87
90.88,6.05,14.16,june,3,2017,88
69.67,6.16,14.22,june,4,2017,89
52.83,6.83,16.75,june,5,2017,90
,,,jul,1,2017,91
48.22,6.27,15.61,jul,2,2017,92
38.88,5.61,15.44,jul,3,2017,93
43.88,5.11,12.39,jul,4,2017,94
54.92,4.75,12.2,jul,5,2017,95
53,5.5,13.5,aug,1,2017,96
53,5.66,13,aug,2,2017,97
50.66,5.66,12,aug,3,2017,98
50.5,6,13,aug,4,2017,99
47,7,14,aug,5,2017,100
57,7,15,sep,1,2017,101
89.66,6.33,14,sep,2,2017,102
71,6,15,sep,3,2017,103
78.5,6,14.5,sep,4,2017,104
41,6,16,sep,5,2017,105
55.6,6,14,oct,1,2017,106
67.66,6.83,15.66,oct,2,2017,107
74.83,7.66,16.5,oct,3,2017,108
84.66,5.66,15,oct,4,2017,109
48,6,15,oct,5,2017,110
64.5,6.5,14.5,nov,1,2017,111
88.33,7,15.66,nov,2,2017,112
88.33,7.33,15.33,nov,3,2017,113
88,6.5,14,nov,4,2017,114
98,8.5,18,nov,5,2017,115
100,9,21,dec,1,2017,116
110.66,966,21,dec,2,2017,117
138,10.66,20.66,dec,3,2017,118
126.66,10.33,20.66,dec,4,2017,119
133,10.5,18,dec,5,2017,120
140.33,8.66,18,JAN,1,2018,121
175.33,8.33,19.66,JAN,2,2018,122
175,8.5,19.5,JAN,3,2018,123
170.5,8,15.5,JAN,4,2018,124
207,8,18,JAN,5,2018,125
,,,mar,1,2018,126
169.33,7.66,19.66,mar,2,2018,127
147,8,19.33,mar,3,2018,128
149.66,7.66,19,mar,4,2018,129
147,8,21,mar,5,2018,130
152.66,8.66,19,apr,1,2018,131
97,7.33,16.33,apr,2,2018,132
85,6.5,16.5,apr,3,2018,133
103,7,14.66,apr,4,2018,134
,,,apr,5,2018,135
56.5,111,17.5,may,1,2018,136
72,15,23.33,may,2,2018,137
93.33,14,20.33,may,3,2018,138
71.33,14.66,23,may,4,2018,139
