PM10,SO2,Nox,MONTH,WEEK,YEAR ,serial
100.64,7.75,20,JAN,1,2016,1
121.19,8.5,20.3,JAN,2,2016,2
107.19,6.25,18.62,JAN,3,2016,3
108.99,6.45,18.3,JAN,4,2016,4
11.26,6.6,18.95,JAN,5,2016,5
144.42,8,23.5,FEB,1,2016,6
149.36,8,23.5,FEB,2,2016,7
167.46,8,22.4,FEB,3,2016,8
157.79,9.25,24.25,FEB,4,2016,9
168.21,10,26,FEB,5,2016,10
128,9,16,mar,1,2016,11
141,9,15,mar,2,2016,12
160,9,21,mar,3,2016,13
120,10,17,mar,4,2016,14
121,9,18,mar,5,2016,15
191,7,14,apr,1,2016,16
105,8,15,apr,2,2016,17
129,9,16,apr,3,2016,18
130,9,15,apr,4,2016,19
96,9,14,apr,5,2016,20
79.57,8.65,15.6,may,1,2016,21
85.54,8.75,15.45,may,2,2016,22
79.64,7.7,15.65,may,3,2016,23
90.12,7.75,15.25,may,4,2016,24
104.12,7.6,12.5,may,5,2016,25
63.63,6.87,13.93,june,1,2016,26
74.2,7.4,15.3,june,2,2016,27
73.42,7.54,15.21,june,3,2016,28
77.9,7.8,14.5,june,4,2016,29
76.34,7.25,14,june,5,2016,30
58.5,8.5,14.12,jul,1,2016,31
63.4,8,14.37,jul,2,2016,32
78.91,10.13,15.21,jul,3,2016,33
79.1,7.9,14.55,jul,4,2016,34
83.66,8.13,14.63,jul,5,2016,35
60.58,6.29,16.04,aug,1,2016,36
59.5,6.45,15.9,aug,2,2016,37
57.8,6.2,15.55,aug,3,2016,38
67.17,6.83,16.42,aug,4,2016,39
61,5.5,16,aug,5,2016,40
64.25,7.75,17.25,sep,1,2016,41
66.34,7.1,15.6,sep,2,2016,42
71.5,7.94,15.06,sep,3,2016,43
77.55,6.6,14.1,sep,4,2016,44
82.64,6.06,13.12,sep,5,2016,45
94,7,14.25,oct,1,2016,46
75.55,7.01,14.19,oct,2,2016,47
80.13,7.01,16.41,oct,3,2016,48
87.75,6.56,19,oct,4,2016,49
79.8,7.02,16.22,oct,5,2016,50
99.22,12.27,17.28,nov,1,2016,51
94.33,9.5,17.22,nov,2,2016,52
102.5,8.75,17.25,nov,3,2016,53
105.22,9.27,17.16,nov,4,2016,54
112.5,10.75,19.25,nov,5,2016,55
150,11.17,17.5,dec,1,2016,56
115,12.39,20.61,dec,2,2016,57
125.32,11.27,18.33,dec,3,2016,58
158.89,13.05,19.89,dec,4,2016,59
124.66,10,18.72,dec,5,2016,60
103.78,10.5,17.33,JAN,1,2017,61
148.67,9.42,16.25,JAN,2,2017,62
153.88,9.77,17.33,JAN,3,2017,63
174,6.66,17.75,JAN,4,2017,64
166.67,6,17.33,JAN,5,2017,65
171,6,17.67,FEB,1,2017,66
163.78,5.89,17.33,FEB,2,2017,67
172.77,6.83,16.89,FEB,3,2017,68
174.44,6.55,16.89,FEB,4,2017,69
188,6.5,18.17,FEB,5,2017,70
208.66,7,17.92,mar,1,2017,71
196.55,7.16,17.61,mar,2,2017,72
182.66,7.08,16.75,mar,3,2017,73
163.33,6.5,15.61,mar,4,2017,74
122.44,8.38,16.38,mar,5,2017,75
,,,apr,1,2017,76
72.66,7.38,17.88,apr,2,2017,77
182,7.42,15.84,apr,3,2017,78
95.44,6.39,5.44,apr,4,2017,79
77.99,5.61,14.72,apr,5,2017,80
99,7,16.42,may,1,2017,81
